N	P	M	v0	beta	num_steps
10	50	48	2.000000e-01	7.000000e-01	10000
i	V_beta	h^2	Acc.
571	1.826829e+00	3.837143e+04	1
572	1.715020e+00	3.952034e+04	1
573	1.565843e+00	3.916393e+04	1
574	1.565634e+00	4.668255e+04	1
575	1.536039e+00	3.387101e+04	1
576	1.652351e+00	3.925110e+04	1
577	1.617518e+00	3.628258e+04	1
578	1.697967e+00	4.059718e+04	1
579	1.810075e+00	4.042819e+04	1
580	1.881433e+00	4.038647e+04	1
581	1.873258e+00	3.810226e+04	1
582	1.960698e+00	3.569163e+04	1
583	2.024038e+00	3.808198e+04	1
584	1.972218e+00	3.609723e+04	1
585	1.952908e+00	3.640774e+04	1
586	1.998985e+00	4.082286e+04	1
587	1.998985e+00	4.422124e+04	0
588	1.976920e+00	3.822292e+04	1
589	1.872300e+00	3.480256e+04	1
590	1.841955e+00	3.737661e+04	1
591	1.841955e+00	3.451459e+04	0
592	1.867280e+00	3.891363e+04	1
593	1.834218e+00	4.055513e+04	1
594	1.954229e+00	3.753090e+04	1
595	1.954229e+00	4.138247e+04	0
596	2.062320e+00	3.490302e+04	1
597	2.080456e+00	4.152616e+04	1
598	2.038084e+00	3.789280e+04	1
599	2.076056e+00	3.572695e+04	1
600	2.245504e+00	3.836475e+04	1
601	2.022524e+00	3.262662e+04	1
602	1.985794e+00	3.585979e+04	1
603	1.985794e+00	3.882812e+04	0
604	1.985794e+00	3.768075e+04	0
605	2.098584e+00	3.571111e+04	1
606	2.016853e+00	3.838631e+04	1
607	2.035264e+00	4.319857e+04	1
608	2.009473e+00	3.802798e+04	1
609	2.096783e+00	3.754810e+04	1
610	2.245174e+00	3.911354e+04	1
611	2.227280e+00	3.940617e+04	1
612	2.232529e+00	4.108945e+04	1
613	2.347068e+00	3.741496e+04	1
614	2.442453e+00	3.797818e+04	1
615	2.383584e+00	4.053901e+04	1
616	2.404207e+00	3.837099e+04	1
617	2.260529e+00	3.714253e+04	1
618	2.203466e+00	3.620139e+04	1
619	2.203466e+00	3.735290e+04	0
620	2.242810e+00	3.566802e+04	1
621	2.336070e+00	4.109524e+04	1
622	2.367515e+00	3.851250e+04	1
623	2.132038e+00	3.555056e+04	1
624	2.139566e+00	3.762032e+04	1
625	2.048479e+00	3.835450e+04	1
626	2.060747e+00	4.020372e+04	1
627	2.075041e+00	4.021894e+04	1
628	2.075041e+00	4.173090e+04	0
629	2.037671e+00	3.817692e+04	1
630	1.927231e+00	3.461836e+04	1
631	1.817572e+00	3.793976e+04	1
632	1.817572e+00	3.946259e+04	0
633	1.942257e+00	3.664213e+04	1
634	2.003547e+00	3.575593e+04	1
635	2.063615e+00	3.608424e+04	1
636	2.097574e+00	3.567835e+04	1
637	2.016667e+00	3.886824e+04	1
638	2.088023e+00	3.528139e+04	1
639	2.107613e+00	4.003177e+04	1
640	2.055202e+00	3.785277e+04	1
641	2.119431e+00	3.444205e+04	1
642	2.096011e+00	4.001797e+04	1
643	2.140527e+00	3.561635e+04	1
644	2.177429e+00	4.296840e+04	1
645	2.180795e+00	3.849796e+04	1
646	2.109649e+00	4.190541e+04	1
647	2.109649e+00	4.293659e+04	0
648	2.038954e+00	3.493503e+04	1
649	2.038954e+00	3.765039e+04	0
650	1.939109e+00	3.095202e+04	1
651	1.887860e+00	3.756699e+04	1
652	1.881773e+00	3.561380e+04	1
653	2.020571e+00	4.362087e+04	1
654	2.039604e+00	3.868865e+04	1
655	2.098273e+00	3.170944e+04	1
656	2.076967e+00	4.009418e+04	1
657	2.113611e+00	3.854635e+04	1
658	2.223829e+00	3.998553e+04	1
659	2.352419e+00	3.204911e+04	1
